ja,en
俺[おれ]がやるって決[き]めたんだよ,I decided that I would do it; kimeru means to decide.
お前[まえ]が自分[じぶん]で選[えら]ぶんだよ,you are the one who chooses; erabu means to choose.
もうこれ以上[いじょう]頑張[がんば]れないよ,I cannot push myself any harder; ganbaru means to do one's best.
まだ諦[あきら]めるには早[はや]いだろ,it is way too early to give up; akirameru means to give up.
お前[まえ]の力[ちから]、ここから感[かん]じるぞ,I can feel your power from over here; kanjiru means to feel.
誰[だれ]も気[き]づいてなかったんだよ,nobody had noticed at all; kizuku means to notice.
お前[まえ]、朝[あさ]まで起[お]きてたんだろ,you were up until morning; okiru means to wake up.
もう寝[ね]るから静[しず]かにしろよ,I am going to sleep so keep it down; neru means to sleep.
昨日[きのう]から何[なに]も食[た]べてないんだ,I have not eaten anything since yesterday; taberu means to eat.
もうそんなに飲[の]むなって,do not drink that much; nomu means to drink.
あいつの事[こと]、名前[なまえ]で呼[よ]ぶなよ,do not call him by his first name; yobu means to call.
そんなに叫[さけ]ぶなよ、聞[き]こえてるって,do not shout like that I can hear you; sakebu means to shout.
そこで黙[だま]るなよ、何[なに]か言[い]えよ,do not go silent on me say something; damaru means to be silent.
俺[おれ]の物[もの]に触[さわ]るんじゃねえ,do not touch my stuff; sawaru means to touch.
あの手[て]を掴[つか]むしかなかったんだよ,I had no choice but to grab that hand; tsukamu means to grab.
そんな物[もの]、こっちに投[な]げるなよ,do not throw that thing over here; nageru means to throw.
そこから落[お]ちたら死[し]ぬぞ,if you fall from there you will die; ochiru means to fall.
あいつ、急[きゅう]に消[き]えたんだよ,he suddenly vanished; kieru means to disappear.
あいつがまた現[あらわ]れたらしいぞ,apparently he showed up again; arawareru means to appear.
お前[まえ]、少[すこ]し変[か]わったな,you have changed a little; kawaru means to change.
こんな事[こと]、いつまで続[つづ]けるんだよ,how long are you going to keep this up; tsuzukeru means to continue.
その話[はなし]、俺[おれ]にも教[おし]えろよ,tell me about that too; oshieru means to teach.
頼[たの]むから今[いま]は行[い]かないでくれ,I am begging you do not go now; tanomu means to ask a favor.
俺[おれ]がお前[まえ]を許[ゆる]すと思[おも]うか,do you think I will forgive you; yurusu means to forgive.
お前[まえ]のおかげで助[たす]かったよ,you really saved me there; tasukaru means to be saved.
今[いま]から行[い]けば間[ま]に合[あ]うだろ,if we go now we will make it; maniau means to be in time.
あいつをどこかで見[み]つけたのかよ,did you find him somewhere; mitsukeru means to find.
もう一度[いちど]あいつを探[さが]すしかない,we have to search for him again; sagasu means to search.
お前[まえ]の手[て]、血[ち]が出[で]てるぞ,your hand is bleeding; chi means blood.
もう涙[なみだ]なんて出[で]ないんだよ,no more tears are coming out; namida means tears.
あそこにいる男[おとこ]、誰[だれ]なんだよ,who is that man over there; otoko means man.
あの女[おんな]の話[はなし]は信[しん]じるなって,do not believe that woman's story; onna means woman.
子供[こども]じゃないんだから泣[な]くなよ,you are not a kid so stop crying; kodomo means child.
大人[おとな]になれば分[わ]かるってさ,they say you will get it once you grow up; otona means adult.
親[おや]には言[い]わないでくれよな,do not tell my parents; oya means parent.
うちの兄[あに]、めっちゃ怖[こわ]いんだよ,my older brother is really scary; ani means older brother.
妹[いもうと]の事[こと]は俺[おれ]が守[まも]る,I will protect my little sister; imouto means younger sister.
神[かみ]なんて信[しん]じてないんだよ,I do not believe in god; kami means god.
あいつは俺[おれ]たちの敵[てき]じゃない,he is not our enemy; teki means enemy.
俺[おれ]はずっとお前[まえ]の味方[みかた]だからな,I have always been on your side; mikata means ally.
先輩[せんぱい]、ちょっと聞[き]いてくださいよ,senpai listen to me for a second; senpai means senior.
教室[きょうしつ]には誰[だれ]もいなかったよ,there was nobody in the classroom; kyoushitsu means classroom.
この道[みち]をまっすぐ行[い]けばいいんだ,you just go straight down this road; michi means road.
こんな場所[ばしょ]で何[なに]してんだよ,what are you doing in a place like this; basho means place.
空[そら]を見[み]てみろよ、きれいだろ,look up at the sky it is beautiful; sora means sky.
夏[なつ]になったら海[うみ]に行[い]こうぜ,let us go to the sea when summer comes; umi means sea.
あの山[やま]の向[む]こうに街[まち]があるんだ,there is a town beyond that mountain; yama means mountain.
この火[ひ]、なんとかしないとやばいぞ,we have to do something about this fire; hi means fire.
ちょっと水[みず]を持[も]ってきてくれよ,bring me some water; mizu means water.
今日[きょう]は風[かぜ]が強[つよ]いなあ,the wind is strong today; kaze means wind.
さっきの光[ひかり]、何[なん]だったんだよ,what was that light earlier; hikari means light.
この闇[やみ]の中[なか]じゃ何[なに]も見[み]えない,I cannot see anything in this darkness; yami means darkness.
お金[かね]なんて今[いま]はどうでもいい,money does not matter right now; okane means money.
もう飯[めし]は食[た]べたのかよ,have you eaten yet; meshi means food.
その本[ほん]はもう俺[おれ]の物[もの]だぞ,that book is mine now; hon means book.
車[くるま]で行[い]ったほうが早[はや]いだろ,it is faster to go by car; kuruma means car.
さっき電話[でんわ]したのに出[で]なかっただろ,I called earlier but you did not pick up; denwa means phone.
あいつから手紙[てがみ]が来[き]たんだよ,a letter came from him; tegami means letter.
その服[ふく]、血[ち]だらけじゃねえか,your clothes are covered in blood; fuku means clothes.
仕事[しごと]はもう終[お]わったのかよ,is the work already done; shigoto means work.
そんな事[こと]しても意味[いみ]ないだろ,there is no point in doing that; imi means meaning.
何[なに]か理由[りゆう]があるはずなんだよ,there has to be some reason; riyuu means reason.
そんなの大[たい]した問題[もんだい]じゃないって,that is not a big problem; mondai means problem.
お前[まえ]の気持[きも]ちも分[わ]かるけどさ,I get how you feel; kimochi means feeling.
お前[まえ]、本気[ほんき]で言[い]ってんのかよ,are you saying that seriously; honki means serious intent.
こっちはもう覚悟[かくご]できてるんだよ,I am already prepared for this; kakugo means resolve.
もうこれ以上[いじょう]我慢[がまん]できないって,I cannot take it any longer; gaman means endurance.
お前[まえ]の心配[しんぱい]なんていらないよ,I do not need you worrying about me; shinpai means worry.
そこにいると邪魔[じゃま]なんだよ,you are in the way standing there; jama means obstruction.
もう準備[じゅんび]はできてるんだろ,you are ready already right; junbi means preparation.
時間[じかん]がもうないんだよ,we are out of time; jikan means time.
昔[むかし]の事[こと]はもう話[はな]さない,I will not talk about the past anymore; mukashi means long ago.
未来[みらい]なんて誰[だれ]にも分[わ]からない,nobody knows the future; mirai means future.
この世界[せかい]には敵[てき]しかいないんだ,this world has nothing but enemies; sekai means world.
朝[あさ]まで待[ま]つしかないだろ,we just have to wait until morning; asa means morning.
夜[よる]に一人[ひとり]で外[そと]に出[で]るなよ,do not go outside alone at night; yoru means night.
あの日[ひ]から何[なに]も変[か]わってないな,nothing has changed since that day; hi means day.
その足[あし]、まだ動[うご]くだろ,your legs still move right; ashi means leg.
自分[じぶん]の口[くち]から言[い]えよ,say it with your own mouth; kuchi means mouth.
その話[はなし]、俺[おれ]の耳[みみ]にも入[はい]ってるぞ,that story reached my ears too; mimi means ear.
お前[まえ]の背中[せなか]は俺[おれ]が守[まも]るよ,I will watch your back; senaka means back.
胸[むね]がずっと苦[くる]しいんだよ,my chest keeps aching; mune means chest.
あいつの剣[けん]は本当[ほんとう]に速[はや]いぞ,his sword is really fast; ken means sword.
あの技[わざ]、もう一度[いちど]使[つか]えよ,use that technique one more time; waza means technique.
これは魔法[まほう]なんかじゃないんだよ,this is not magic or anything; mahou means magic.
今度[こんど]こそ絶対[ぜったい]に勝[か]つぞ,this time I am definitely winning; katsu means to win.
こんな奴[やつ]に負[ま]けるわけないだろ,there is no way I lose to this guy; makeru means to lose.
あいつを倒[たお]すまで帰[かえ]らないぞ,I am not going home until I beat him; taosu means to defeat.
そんな事[こと]言[い]ったら殴[なぐ]るぞ,say that and I will punch you; naguru means to punch.
電話[でんわ]、勝手[かって]に切[き]るなよ,do not hang up on me; kiru means to cut.
こんな所[ところ]で引[ひ]くわけにはいかない,I cannot back down here; hiku means to pull.
そのボタンは押[お]すなって言[い]っただろ,I told you not to press that button; osu means to push.
早[はや]くこのドアを開[あ]けろよ,hurry up and open this door; akeru means to open.
後[うし]ろのドア、ちゃんと閉[し]めろよ,close the door behind you properly; shimeru means to close.
今日[きょう]の飯[めし]は俺[おれ]が作[つく]るからさ,I will make today's food; tsukuru means to make.
そんな事[こと]したら全部[ぜんぶ]壊[こわ]すぞ,do that and I will break everything; kowasu means to break.
帰[かえ]りに何[なに]か買[か]うつもりだよ,I am going to buy something on the way back; kau means to buy.
これをあいつに渡[わた]すだけでいいんだ,you just have to hand this to him; watasu means to hand over.
家[いえ]まで送[おく]るからさ、行[い]こうぜ,I will walk you home so let us go; okuru means to send.
俺[おれ]の声[こえ]、まだ届[とど]くかな,I wonder if my voice still reaches you; todoku means to reach.
その車[くるま]に乗[の]るなって言[い]っただろ,I told you not to get in that car; noru means to ride.
もうすぐあの街[まち]に着[つ]くぞ,we will reach that town soon; tsuku means to arrive.
ここからは歩[ある]くしかないな,from here we have to walk; aruku means to walk.
あそこまで飛[と]ぶつもりなのかよ,are you planning to jump all the way there; tobu means to fly.
大事[だいじ]な物[もの]を落[お]とすなよ,do not drop something important; otosu means to drop.
そこに落[お]ちてる物[もの]、拾[ひろ]うなよ,do not pick up the stuff lying there; hirou means to pick up.
その顔[かお]、俺[おれ]に見[み]せてみろよ,show me that face of yours; miseru means to show.
ここからあいつの家[いえ]が見[み]えるぞ,I can see his house from here; mieru means to be visible.
俺[おれ]の声[こえ]、ちゃんと聞[き]こえてるか,can you hear me clearly; kikoeru means to be audible.
少[すこ]しは自分[じぶん]で考[かんが]えろよ,think for yourself a little; kangaeru means to think over.
今[いま]さら迷[まよ]うんじゃねえよ,do not hesitate at this point; mayou means to hesitate.
そんな事[こと]、誰[だれ]が願[ねが]うんだよ,who would ever wish for that; negau means to wish.
あの日[ひ]の事[こと]を思[おも]い出[だ]したんだよ,I remembered what happened that day; omoidasu means to recall.
これ以上[いじょう]仲間[なかま]を失[うしな]うかよ,I am not losing any more comrades; ushinau means to lose.
こんな事[こと]、すぐ慣[な]れるからさ,you will get used to this fast; nareru means to get used to.
もう歩[ある]くのも疲[つか]れたよ,I am too tired to even walk; tsukareru means to get tired.
ちょっとここで休[やす]むしかないな,we have to rest here for a bit; yasumu means to rest.
今[いま]は遊[あそ]ぶ時間[じかん]じゃないだろ,this is not the time to play around; asobu means to play.
お前[まえ]も少[すこ]しは働[はたら]くんだな,so you actually work a little too; hataraku means to work.
あいつに立[た]ち向[む]かうしかないだろ,we have no choice but to face him; tachimukau means to confront.
手伝[てつだ]ってくれないか,will you help me out; tetsudau means to help.
そんなに心配[しんぱい]するなって,don't worry so much; shinpai suru means to worry.
悪[わる]い今日[きょう]はちょっと遅[おく]れるかも,sorry I might be a bit late today; okureru means to be late.
まだ支度[したく]できてないのかよ,are you still not ready; shitaku means getting ready.
食[た]べ物[もの]なら台所[だいどころ]にあるぞ,there is food in the kitchen; tabemono means food.
あの店[みせ]まだ開[あ]いてるかな,is that shop still open; mise means shop.
駅[えき]の前[まえ]で待[ま]ってるからな,I will be waiting in front of the station; eki means station.
電車[でんしゃ]がもう出[で]ちゃうって,the train is about to leave; densha means train.
保健室[ほけんしつ]で寝[ね]てただけだって,I was just sleeping in the nurse's office; hokenshitsu means school infirmary.
部長[ぶちょう]に見[み]つかったらやばいぞ,we are done for if the club president finds us; buchou means club president.
宿題[しゅくだい]まだ終[お]わってないんだ,my homework still is not finished; shukudai means homework.
弁当[べんとう]作[つく]ってきたんだけど,I made you a boxed lunch; bentou means boxed lunch.
屋上[おくじょう]で少[すこ]し話[はな]そうぜ,let us talk a bit on the rooftop; okujou means rooftop.
放課後[ほうかご]に残[のこ]ってろよ,stay behind after school; houkago means after school.
また部活[ぶかつ]サボる気[き]かよ,are you skipping club again; bukatsu means club activity.
兄貴[あにき]にだけは負[ま]けたくない,my big brother is the one guy I refuse to lose to; aniki means older brother.
姉[あね]がまた怒[おこ]ってるんだよ,my older sister is angry again; ane means older sister.
親父[おやじ]にはまだ話[はな]してないんだ,I have not told my old man yet; oyaji means one's father.
恋人[こいびと]でもできたのかよ,did you get yourself a lover; koibito means lover.
今月[こんげつ]の小遣[こづか]いもう使[つか]った,I already spent this month's allowance; kozukai means pocket money.
もう出[で]かけるから早[はや]くしろって,we are heading out so hurry up; dekakeru means to go out.
これ以上[いじょう]隠[かく]すのはやめろ,stop hiding it any longer; kakusu means to hide something.
早[はや]く隠[かく]れろって言[い]ってるだろ,I am telling you to hide fast; kakureru means to hide oneself.
素直[すなお]に謝[あやま]るしかないぞ,you just have to apologize honestly; ayamaru means to apologize.
今度[こんど]あいつも誘[さそ]うつもりだ,I plan to invite him too next time; sasou means to invite.
あんな誘[さそ]いは断[ことわ]るよ,I will turn down an invitation like that; kotowaru means to refuse.
そんなに泣[な]かれると困[こま]るんだよ,it troubles me when you cry like that; komaru means to be troubled.
そんなに焦[あせ]るなって言[い]っただろ,I told you not to panic; aseru means to get flustered.
今夜[こんや]うちに集[あつ]まるか,want to get together at my place tonight; atsumaru means to gather.
あいつばっかり頼[たよ]るなよ,do not rely only on him; tayoru means to rely on.
ここは俺[おれ]に任[まか]せて先[さき]に行[い]け,leave this to me and go ahead; makaseru means to entrust.
邪魔[じゃま]するならあっち行[い]ってろ,if you are going to get in the way then leave; jama suru means to get in the way.
これ以上[いじょう]我慢[がまん]できないんだよ,I cannot put up with this anymore; gaman suru means to endure.
ちょっと落[お]ち着[つ]けって,calm down for a second; ochitsuku means to calm down.
宿題[しゅくだい]なら先[さき]に済[す]ませたよ,I got the homework out of the way first; sumaseru means to finish off.
毎日[まいにち]同[おな]じ飯[めし]じゃ飽[あ]きるって,the same food every day gets old; akiru means to get sick of.
駅[えき]の前[まえ]であいつを見[み]かけたぞ,I spotted him in front of the station; mikakeru means to catch sight of.
こんな時間[じかん]に電話[でんわ]が鳴[な]るなんて,a phone ringing at an hour like this; naru means to ring.
駅[えき]まで迎[むか]えに行[い]ってやるよ,I will go pick you up at the station; mukaeru means to go meet someone.
これ明日[あした]までに届[とど]けてくれよ,get this delivered by tomorrow; todokeru means to deliver.
そんなに強[つよ]く叩[たた]くなよ,do not hit it that hard; tataku means to hit.
動[うご]くなら蹴[け]るぞ,if you move I will kick you; keru means to kick.
走[はし]ってると転[ころ]ぶぞ,you will trip if you keep running; korobu means to fall over.
あいつが倒[たお]れたぞ早[はや]く来[こ]い,he collapsed so get over here; taoreru means to collapse.
まだ立[た]ち上[あ]がれるはずだろ,you should still be able to stand up; tachiagaru means to stand up.
ゆっくり振[ふ]り向[む]いてみろよ,turn around slowly and look; furimuku means to turn around.
逃[に]げる前[まえ]に追[お]いかけるぞ,we chase him before he escapes; oikakeru means to chase.
泣[な]いてる子[こ]を抱[だ]きしめてやれ,hug the crying kid; dakishimeru means to hug tightly.
何[なに]も言[い]わずに頷[うなず]くなよ,do not just nod without saying anything; unazuku means to nod.
何[なに]か呟[つぶや]くのが聞[き]こえた,I heard him mutter something; tsubuyaku means to mutter.
そんなに怒鳴[どな]るなよ怖[こわ]いだろ,do not yell like that it is scary; donaru means to yell.
たまには甘[あま]えてもいいんだぞ,you can lean on me once in a while; amaeru means to depend on someone.
ここは俺[おれ]が譲[ゆず]るしかないな,I guess I am the one who gives in; yuzuru means to yield.
お前[まえ]の命[いのち]を賭[か]けられるか,can you bet your life on it; kakeru means to bet.
中[なか]を覗[のぞ]くのはやめとけ,stop peeking inside; nozoku means to peek.
お前[まえ]がそこで見張[みは]ってろ,you keep watch over there; miharu means to keep watch.
人[ひと]の名前[なまえ]を間違[まちが]えるなって,do not get people's names wrong; machigaeru means to get something wrong.
それはただの勘違[かんちが]いだって,that is just a mistaken idea; kanchigai means a misunderstanding.
あいつに誤解[ごかい]されたままなんだ,he still has me all wrong; gokai suru means to misunderstand.
人[ひと]の目[め]なんか気[き]にするなよ,do not mind what people think; ki ni suru means to worry about.
一度[いちど]ちゃんと相談[そうだん]しろよ,talk it over with someone properly; soudan suru means to consult.
お前[まえ]の世話[せわ]なんかしないぞ,I am not going to look after you; sewa suru means to take care of.
これで仲直[なかなお]りできるといいな,I hope this lets us make up; nakanaori means reconciliation.
また兄[あに]と喧嘩[けんか]したのか,did you fight with your brother again; kenka means a quarrel.
明日[あした]告白[こくはく]するつもりなんだ,I am going to confess tomorrow; kokuhaku means a confession.
これが恋[こい]ってやつなのかな,so this is what love is; koi means romantic love.
あいつとはもう別[わか]れたよ,I already broke up with him; wakareru means to part.
お前[まえ]と結婚[けっこん]する気[き]はない,I have no intention of marrying you; kekkon means marriage.
こいつは俺[おれ]の幼馴染[おさななじみ]なんだ,this guy is my childhood friend; osananajimi means childhood friend.
彼女[かのじょ]ができたって本当[ほんとう]かよ,is it true you got a girlfriend; kanojo means girlfriend.
彼氏[かれし]の前[まえ]でも同[おな]じこと言[い]えよ,say the same thing in front of your boyfriend; kareshi means boyfriend.
弟[おとうと]にはまだ言[い]うなよ,do not tell my little brother yet; otouto means younger brother.
姉貴[あねき]がうるさくて困[こま]るんだよ,my big sister is loud and it is a pain; aneki means older sister.
父[ちち]の顔[かお]はもう覚[おぼ]えてない,I do not remember my father's face anymore; chichi means father.
母[はは]にだけは知[し]られたくない,my mother is the one person I do not want finding out; haha means mother.
息子[むすこ]はもう死[し]んだんだよ,my son is already dead; musuko means son.
娘[むすめ]には手[て]を出[だ]すな,do not lay a hand on my daughter; musume means daughter.
うちの生徒[せいと]に何[なに]をした,what did you do to our student; seito means pupil.
後輩[こうはい]の前[まえ]で泣[な]くなよ,do not cry in front of your juniors; kouhai means a junior student.
委員長[いいんちょう]なら知[し]ってるはずだ,the class rep should know; iinchou means class representative.
その制服[せいふく]どこの学校[がっこう]だよ,which school is that uniform from; seifuku means uniform.
試験[しけん]なんてどうにでもなるって,the exams will work out somehow; shiken means examination.
成績[せいせき]なんか気[き]にしてないよ,I do not care about my grades; seiseki means grades.
転校[てんこう]するなんて聞[き]いてないぞ,nobody told me you were transferring schools; tenkou means a school transfer.
卒業[そつぎょう]までにちゃんと言[い]うよ,I will tell you properly before graduation; sotsugyou means graduation.
入学[にゅうがく]した日[ひ]のこと覚[おぼ]えてるか,do you remember the day we enrolled; nyuugaku means entering a school.
授業[じゅぎょう]中[ちゅう]に寝[ね]てただろ,you were sleeping during class; jugyou means a class.
体育[たいいく]の後[あと]は動[うご]けない,I cannot move after gym class; taiiku means physical education.
文化祭[ぶんかさい]で何[なに]やるか決[き]めろ,decide what we are doing for the culture festival; bunkasai means culture festival.
廊下[ろうか]で走[はし]るなって言[い]ってるだろ,I keep telling you not to run in the hallway; rouka means hallway.
近所[きんじょ]の人[ひと]に見[み]られたらまずい,it is bad if the neighbors see us; kinjo means the neighborhood.
公園[こうえん]でずっと待[ま]ってたんだぞ,I was waiting at the park the whole time; kouen means park.
早[はや]く病院[びょういん]に行[い]けって,just get to the hospital already; byouin means hospital.
台所[だいどころ]から変[へん]な音[おと]がする,there is a strange noise from the kitchen; daidokoro means kitchen.
風呂[ふろ]くらい先[さき]に入[はい]れよ,at least take a bath first; furo means bath.
布団[ふとん]から出[で]たくないんだよ,I do not want to get out of my futon; futon means bedding.
携帯[けいたい]どこに置[お]いたんだよ,where did you put your phone; keitai means mobile phone.
あいつからの着信[ちゃくしん]が止[と]まらない,the calls from him will not stop; chakushin means an incoming call.
財布[さいふ]の中[なか]はもう空[から]なんだ,my wallet is already empty; saifu means wallet.
鞄[かばん]の中[なか]まで見[み]るなよ,do not go looking inside my bag; kaban means bag.
たまには私服[しふく]で来[こ]いよ,show up in normal clothes once in a while; shifuku means casual clothes.
買[か]い物[もの]なら一緒[いっしょ]に行[い]くよ,I will go with you if it is shopping; kaimono means shopping.
店長[てんちょう]にまた怒[おこ]られるって,the manager is going to yell at me again; tenchou means shop manager.
明日[あした]の予定[よてい]はもう決[き]めた,I already decided tomorrow's plans; yotei means plan.
腕[うで]を掴[つか]まれて動[うご]けない,he has my arm and I cannot move; ude means arm.
指[ゆび]を切[き]ったくらいで泣[な]くなよ,do not cry over a cut finger; yubi means finger.
首[くび]が痛[いた]くて上[うえ]を向[む]けない,my neck hurts and I cannot look up; kubi means neck.
膝[ひざ]を怪我[けが]したのに走[はし]る気[き]かよ,you hurt your knee and still plan to run; hiza means knee.
肩[かた]を掴[つか]まれて振[ふ]り向[む]いた,he grabbed my shoulder and I turned around; kata means shoulder.
髪[かみ]を切[き]ったのに気[き]づかないのかよ,I cut my hair and you did not even notice; kami means hair.
汗[あせ]をかいたまま寝[ね]るなよ,do not go to sleep covered in sweat; ase means sweat.
その傷[きず]どこでつけたんだよ,where did you get that wound; kizu means wound.
怪我[けが]してるくせに戦[たたか]う気[き]かよ,you are hurt and still want to fight; kega means injury.
熱[ねつ]があるなら休[やす]んでろよ,if you have a fever then rest; netsu means fever.
息[いき]が上[あ]がってるぞ大丈夫[だいじょうぶ]か,you are out of breath are you okay; iki means breath.
腹[はら]が減[へ]って動[うご]けないんだよ,I am too hungry to move; hara means belly.
眠気[ねむけ]がやばいんだって,the sleepiness is killing me; nemuke means drowsiness.
その咳[せき]大丈夫[だいじょうぶ]なのかよ,is that cough of yours okay; seki means a cough.
お前[まえ]の笑顔[えがお]が見[み]たいだけだ,I just want to see your smile; egao means a smiling face.
あんな悲鳴[ひめい]初[はじ]めて聞[き]いたぞ,I have never heard a scream like that; himei means a scream.
変[へん]な噂[うわさ]は信[しん]じるなよ,do not believe the weird rumors; uwasa means rumor.
