ja,en
**行[い]く**,to go; Present tense of a -ku verb.
**食[た]べる**,to eat; Present tense of an -eru verb.
**する**,to do; Present tense of suru.
**来[く]る**,to come; Present tense of kuru.
**強[つよ]い**,strong; Present tense of an -i adjective.
来[こ]**られる**,can come; Potential of kuru.
行[い]か**れる**,is gone to; Passive of a -ku verb. Has it done to them.
**される**,is done; Passive of suru.
行[い]か**せる**,makes someone go; Causative of a -ku verb. Makes or lets someone do it.
食[た]べ**させる**,makes someone eat; Causative of an -eru verb.
**させる**,makes someone do it; Causative of suru.
来[こ]**させる**,makes someone come; Causative of kuru.
行[い]か**せられる**,is made to go; Causative passive of a -ku verb. Is made to do it.
食[た]べ**させられる**,is made to eat; Causative passive of an -eru verb.
**させられる**,is made to do it; Causative passive of suru.
行[い]**けば**,if one goes; Conditional of a -ku verb. If this happens.
食[た]べ**れば**,if one eats; Conditional of an -eru verb.
**すれば**,if one does it; Conditional of suru.
来[く]**れば**,if one comes; Conditional of kuru.
強[つよ]**ければ**,if it is strong; Conditional of an -i adjective.
行[い]っ**たら**,once one goes; Past conditional of a -ku verb. Once this happens.
食[た]べ**たら**,once one eats; Past conditional of an -eru verb.
**したら**,once one does it; Past conditional of suru.
来[き]**たら**,once one comes; Past conditional of kuru.
魔王[まおう]**なら**,if it is the demon lord; Conditional of a noun.
行[い]っ**てください**,please go; Polite request of a -ku verb. Please do it.
食[た]べ**てください**,please eat; Polite request of an -eru verb.
**してください**,please do it; Polite request of suru.
来[き]**てください**,please come; Polite request of kuru.
行[い]っ**てもいい**,may go; Permission of a -ku verb. It is fine to do it.
食[た]べ**てもいい**,may eat; Permission of an -eru verb.
**してもいい**,may do it; Permission of suru.
行[い]か**なければならない**,has to go; Obligation of a -ku verb. Must do it.
食[た]べ**なければならない**,has to eat; Obligation of an -eru verb.
**しなければならない**,has to do it; Obligation of suru.
行[い]か**なきゃ**,got to go; Casual obligation of a -ku verb.
行[い]き**ながら**,while going; Simultaneous form of a -ku verb. Doing it while something else happens.
食[た]べ**ながら**,while eating; Simultaneous form of an -eru verb.
**しながら**,while doing it; Simultaneous form of suru.
行[い]っ**たことがある**,has been there; Experience form of a -ku verb. Have done it before.
食[た]べ**たことがある**,has eaten it; Experience form of an -eru verb.
**したことがある**,has done it; Experience form of suru.
来[き]**たことがある**,has been here; Experience form of kuru.
行[い]き**そう**,looks about to go; Looks like form of a -ku verb. A guess from appearance.
食[た]べ**そう**,looks about to eat; Looks like form of an -eru verb.
強[つよ]**そう**,looks strong; Looks like form of an -i adjective.
強[つよ]**く**,strongly; Adverb form of an -i adjective.
大丈夫[だいじょうぶ]**に**,so as to be all right; Adverb form of a na-adjective.
大丈夫[だいじょうぶ]**な**,all right; Form of a na-adjective used before a noun.
