ja,en
**守[まも]る**,to protect; (v) for guarding what you value which also covers keeping promises and rules.
**あの**,that (before a noun; (dem) for something far from both of us or shared in memory.
**殺[ころ]す**,to kill; (v) Blunt transitive verb for taking a life with no softening at all.
**よる**,to depend on; (v) appearing in set patterns meaning caused by or conditional on something.
**目[め]**,eye; (n) for the eye that stretches to a viewpoint or where attention lands.
**勝[か]つ**,to win; (v) for prevailing where the beaten party is marked as the target.
**旦那[だんな]**,boss or sir as familiar address; (n) Friendly address a shopkeeper gives a male patron and also a woman's husband.
**どこ**,where; (dem) Question word for location central to the lost traveller asking about their surroundings.
**なさる**,to do (honorific); (v) Honorific verb used only about a superior's actions never about your own.
**違[ちが]う**,to be different; (v) framing wrongness as departing from the facts in ordinary conversation.
**仲間[なかま]**,comrade; (n) for anyone inside your circle such as a party member or crewmate.
**オーガ**,ogre; (n) Loanword noun for the tall horned warrior race of this world.
**まさか**,no way; (adv) voicing flat disbelief at something just realised and standing alone as protest.
**一人[ひとり]**,one person; (n) Counting word for a single person that also expresses doing something unaccompanied.
**今回[こんかい]**,this time; (n) framing one specific round or attempt within a series of them.
**戦[たたか]う**,to fight; (v) for sustained combat between sides covering wars duels and struggles.
**敵[てき]**,enemy; (n) for the opposing side which also labels any harmful thing such as illness.
**やめる**,to stop doing; (v) for dropping an action underway whose bare command is shouted and blunt.
**勇者[ゆうしゃ]**,hero; (n) Literally a brave person but here a class granted power to kill demon lords.
**来[こ]い**,come here; (v) Command form of the verb to come with a stem reading found nowhere else.
**得[え]る**,to obtain; (v) Bookish verb for coming into possession that also means can after a verb stem.
**認[みと]める**,to acknowledge; (v) for conceding a fact or granting someone standing within a group.
**確[たし]か**,certain; (na-adj) for solid certainty that hedges into probably when it opens a sentence.
**まま**,as it is; (n) for a state held unchanged so nothing about it gets touched.
**中[なか]**,inside; (n) for the interior of a space or the middle of a process.
**入[はい]る**,to enter; (v) Intransitive verb of going in where the place takes the destination particle.
**許[ゆる]す**,to forgive; (v) One verb for both pardoning an offence and granting permission to act.
**他[ほか]**,other; (n) for the remainder besides the thing at hand.
**嫌[いや]**,unpleasant; (na-adj) of distaste that barked alone becomes a flat sharp refusal.
**名前[なまえ]**,name; (n) for a personal name whose bestowal on a monster grants it power here.
**年[とし]**,year; (n) for a year that also carries how many a person has lived.
**一同[いちどう]**,everyone present; (n) Formal noun treating a gathered group as one body behind its collective title.
**僕[ぼく]**,I (soft masculine); (pron) Gentle masculine pronoun used by boys and mild mannered men of any age.
**いつ**,when; (pron) Question word for time that builds always and someday when a particle attaches.
**進化[しんか]**,evolution; (n) for a creature ranking up into a stronger body and new title.
**見[み]える**,to be visible; (v) for something landing in view without anyone choosing to look.
**食[く]う**,to eat (rough); (v) Coarse masculine verb for eating that also appears in idioms about consuming time.
**姿[すがた]**,form; (n) for a whole visible figure or silhouette seen from a distance.
**もし**,if; (adv) flagging a hypothetical early even though the conditional ending carries the meaning.
**面白[おもしろ]い**,interesting; (i-adj) stretching from funny to intriguing as a property of the thing itself.
**信[しん]じる**,to believe; (v) One verb for trusting a person and accepting a claim as true.
**願[ねが]う**,to wish; (v) for wishing or petitioning which underlies the worn down everyday please.
**かける**,to hang; (v) Broad verb covering hanging and pouring that becomes casting with magic.
**受[う]ける**,to receive; (v) for absorbing whatever comes at you such as attacks tests and favours.
**帰[かえ]る**,to go back home; (v) for returning to where you belong so it implies home or base.
**支配[しはい]**,rule; (n) for domination over subjects built from holding up and handing out.
**致[いた]す**,to do (humble); (v) Humble verb for one's own action spoken looking up at a superior.
**好[す]き**,liked; (na-adj) so the thing liked is the grammatical subject of the feeling.
**暴風[ぼうふう]**,storm; (n) compounding violent and wind used as a dragon's grand title here.
**魔人[まじん]**,demon-kin; (n) for a humanoid whose power ranks far above ordinary monsters.
**次[つぎ]**,next; (n) for the following item in a sequence such as a queue.
**英雄[えいゆう]**,hero as a great figure; (n) for greatness earned by deeds and remembered by later history.
**食[た]べる**,to eat; (v) Neutral everyday verb for eating safe in any company.
**召喚[しょうかん]**,summoning; (n) for a ritual that drags a being across worlds on command.
**間[あいだ]**,interval; (n) for the span separating two points people or moments in time.
**戻[もど]る**,to go back; (v) Intransitive verb for returning to an earlier spot with no homecoming feeling.
**協力[きょうりょく]**,cooperation; (n) for joined strength between equals working toward one goal.
**吾輩[わがはい]**,I (pompous and archaic); (pron) Pompous archaic pronoun that makes its speaker sound grandly out of date.
**動[うご]く**,to move; (v) Intransitive verb so people machines and plans all move under their own steam.
**倒[たお]す**,to defeat; (v) Transitive verb for knocking an opponent over hence beating a boss.
**もっと**,more; (adv) asking for a greater degree of the very same thing.
**ダメ**,no good; (na-adj) Blunt adjective judging something useless or forbidden and often thrown out as a one-word refusal.
**復活[ふっかつ]**,revival; (n) for coming back to life covering resurrected people and revived plans alike.
**準備[じゅんび]**,preparation; (n) for the whole process of getting set up before an undertaking begins.
**仕事[しごと]**,work; (n) for the work or duty itself covering both a single task and a livelihood.
**簡単[かんたん]**,easy; (na-adj) for something with few parts and therefore little trouble to carry out.
**心配[しんぱい]**,worry; (n) for anxiety aimed at a particular person or outcome and often shown as care.
**体[からだ]**,body; (n) for the body as a whole including your physical condition and stamina.
**剣[けん]**,sword; (n) for a straight double-edged blade of the kind knights carry.
**騎士[きし]**,knight; (n) literally saying riding retainer for a titled human soldier serving a crown.
**用意[ようい]**,getting ready; (n) for having the needed items laid out and within easy reach.
**エルフ**,elf; (n) Loanword naming the tall long-lived fantasy race of Western storytelling.
**悪魔[あくま]**,devil; (n) built from evil and demon for a malevolent spirit that tempts and destroys.
**攻撃[こうげき]**,attack; (n) for an offensive strike used for military assaults and for named combat skills.
**頑張[がんば]る**,to do one's best; (v) for gritting through sustained effort and shouted at others as encouragement.
**会[あ]う**,to meet; (v) for meeting someone covering both an arranged appointment and a chance encounter.
**はず**,it should be the case that; (n) expressing confident inference from evidence about what ought to be true.
**約束[やくそく]**,promise; (n) for a commitment between people that can be kept or broken.
**うまい**,tasty; (i-adj) Casual adjective praising tasty food and praising sharp skill with equal relish.
**首領[しゅりょう]**,chief; (n) for the head of a gang or band with a menacing outlaw flavour.
**商人[しょうにん]**,merchant; (n) for someone whose profession is trading goods for profit.
**情報[じょうほう]**,information; (n) for gathered intelligence or news that someone actively collects and passes on.
**さて**,now then; (conj) marking a shift to the next topic and adding no content itself.
**声[こえ]**,voice; (n) reserved for sound produced by a living throat.
**もちろん**,of course; (adv) asserting something too obvious to be worth arguing about.
**次回[じかい]**,next time; (n) counting the next installment of a running series such as an episode.
**助[たす]ける**,to save; (v) for rescuing someone from real danger and pulling them clear of it.
**黒[くろ]**,black; (n) Colour noun that also carries connotations of guilt and the criminal underside.
**実[じつ]**,truth; (n) for the real state of things used to preface a revelation.
**場所[ばしょ]**,place; (n) for a physical spot you could walk to and point at.
**上位[じょうい]**,higher rank; (n) placing something above others in a hierarchy such as the monster grades here.
**自由[じゆう]**,freedom; (n) literally saying self reason for acting on your own will.
**存在[そんざい]**,existence; (n) for existence and also for the being itself often something vast and unnameable.
**村[むら]**,village; (n) for a small farming settlement of a few families with no shops.
**地[ち]**,land; (n) for ground or claimed territory living mostly inside compound words.
**終[お]わる**,to end; (v) for something coming to an end by itself with nobody ending it.
**結界[けっかい]**,barrier; (n) for a bounded zone sealed by magic borrowed from Buddhist consecrated ground.
**先[さき]**,ahead; (n) for what lies ahead in space or comes earlier in time.
**邪魔[じゃま]**,hindrance; (n) for an obstruction and also a humble word for intruding on someone.
**無理[むり]**,impossible; (na-adj) saying something cannot be forced through without unreasonable strain.
**兄[あに]**,older brother; (n) for your own older brother spoken of plainly to outsiders.
**ドワーフ**,dwarf; (n) Loanword for the short stocky fantasy race famed for smithing and mining.
**封印[ふういん]**,sealing; (n) for locking a dangerous power away under a magical stamp.
**内[うち]**,inside; (n) for the inside of a span of time or of your own group.
**解析[かいせき]**,analysis; (n) for taking something apart to work out how it functions.
**報告[ほうこく]**,report; (n) for a formal account of results passed upward to a superior.
**関係[かんけい]**,relation; (n) for the link between people or things and used to deny any involvement.
**付[つ]く**,to be attached; (v) for something being stuck onto another thing including tagging along behind.
**我々[われわれ]**,we (formal); (pron) Formal pronoun for us suited to speeches and declarations by leaders.
**戦[たたか]い**,battle; (n) for an armed clash covering one duel or a long campaign.
**立[た]つ**,to stand; (v) for a person rising and holding upright on their own feet.
**すぐ**,right away; (adv) for immediacy in time and also for nearness in distance.
**意味[いみ]**,meaning; (n) for the sense a word or an action carries and the point of it.
**役[やく]**,role; (n) for the part you play inside a group or on a stage.
**勝手[かって]**,selfish; (na-adj) for acting on your own judgement without consulting anyone affected.
**また**,again; (adv) marking a repeat of the same event on a later occasion.
**討伐[とうばつ]**,subjugation; (n) built from attack and cut down for an authorised campaign against a menace.
**森林[しんりん]**,woodland; (n) Formal noun for forested land used in place names and official documents.
**狼[おおかみ]**,wolf; (n) for the wolf which folklore paints as both mountain god and predator.
**今後[こんご]**,from now on; (n) looking forward from this moment and common in pledges and reports.
**教[おし]える**,to teach; (v) covering instruction and also simply telling someone a fact they asked for.
**行[おこな]う**,to carry out; (v) Formal verb for conducting a ceremony or an operation.
**逃[に]げる**,to flee; (v) for escaping danger under your own power and slipping away.
**女[おんな]**,woman; (n) Bare noun for a woman that sounds blunt and dismissive when said of someone.
**確認[かくにん]**,confirmation; (n) for making sure of a fact by checking it against evidence.
**ユニーク**,unique; (na-adj) Loanword adjective which here labels a one-of-a-kind power tier above ordinary skills.
**なぜ**,why; (adv) Formal written adverb asking why and sounding declamatory when spoken aloud.
**牙[きば]**,fang; (n) for a predator's fang and the weapon a beast bites with.
**一緒[いっしょ]**,together; (n) for togetherness that also says two things are identical.
**豚[ぶた]**,pig; (n) for the pig which doubles as a crude insult about greed.
**当然[とうぜん]**,natural; (na-adj) asserting something needed no saying and sounding arrogant as a reply.
**料理[りょうり]**,cooking; (n) for both the act of cooking and the finished dish served.
**獲得[かくとく]**,acquisition; (n) for capturing and obtaining something announced like a formal award.
**高[たか]い**,high; (i-adj) covering height price and pitch all with one word.
**負[ま]ける**,to lose; (v) for losing to an opponent and for giving in to temptation.
**よし**,all right; (exp) you say to psych yourself up at the moment of deciding.
**失礼[しつれい]**,rudeness; (n) built from losing courtesy and said when entering or leaving a room.
**時間[じかん]**,time; (n) for measurable duration and for one hour on the clock.
**回復[かいふく]**,recovery; (n) for returning to a former state covering health stamina and hit points.
**日[ひ]**,day; (n) meaning both the sun and the day it lights.
**上[あ]げる**,to raise; (v) Transitive verb for lifting something and for offering it up to a superior.
**向[む]かう**,to head toward; (v) for facing a destination and moving toward it with clear intent.
**目的[もくてき]**,purpose; (n) built from eye and target for the aim behind an action.
**配下[はいか]**,subordinates; (n) literally saying under one's arrangement for the sworn followers of a lord.
**始[はじ]める**,to begin something; (v) Transitive verb for starting a thing and for starting to do something.
**神[かみ]**,god; (n) for any of countless worshipped spirits and here a top power tier.
**彼[かれ]**,he; (pron) for he which also means boyfriend so it needs care.
**変[か]わる**,to change by itself; (v) for something changing on its own with nobody acting on it.
**安心[あんしん]**,relief; (n) for the settled heart left once worry has lifted.
**つまり**,in other words; (adv) restating what was just said in plainer words to draw a conclusion.
**魂[たましい]**,soul; (n) for the animating spirit that outlives the body and here gets consumed.
**与[あた]える**,to give; (v) for a superior bestowing something downward on a lesser recipient.
**西方[せいほう]**,the west; (n) for the westward compass direction used in formal geography and church names.
**別[べつ]**,separate; (n) picking a different one of the same kind and also brushing questions off.
**全[まった]く**,completely; (adv) intensifying a statement and standing alone as exasperated disbelief.
**とても**,very; (adv) Neutral intensifying adverb which with a negative becomes could not possibly.
**間違[まちが]い**,mistake; (n) for an error of fact or judgement carrying no moral blame.
**軍[ぐん]**,army; (n) for a fighting force as an institution rarely standing alone in speech.
**感[かん]じ**,feeling; (n) for the impression a thing gives off to whoever perceives it.
**聖教[せいきょう]**,holy faith; (n) built from holy and teaching appearing almost only in this world's church name.
**冒険[ぼうけん]**,adventure; (n) literally braving danger and covering any risky gamble you undertake.
**頭[あたま]**,head; (n) for the head that also stands for brains and thinking ability.
**そちら**,that way; (dem) pointing at the listener's side and used as a polite way to address them.
**国家[こっか]**,nation; (n) for a country seen as a political institution with government and borders.
**生[い]きる**,to live; (v) for being alive as an ongoing process of drawing breath.
**一体[いったい]**,just what on earth; (adv) that loads a question with disbelief or a demand for explanation.
**おかげ**,thanks to; (n) crediting someone or something for a good outcome you benefited from.
**遊[あそ]ぶ**,to play; (v) for amusing oneself that adults use freely and can mean toying with someone.
**エネルギー**,energy; (n) Loanword noun for stored fuel or power a body or machine can spend.
**感謝[かんしゃ]**,gratitude; (n) for formally felt and expressed thanks carrying weight in speeches and vows.
**ぜひ**,by all means; (adv) urging a wish or invitation and needing a request afterwards.
**楽[たの]しむ**,to enjoy; (v) for actively making enjoyment happen out of what you are doing.
**デーモン**,demon; (n) Loanword naming this world's higher demon race with real rank and power.
**さっき**,a moment ago; (n) Casual noun for a vague point only minutes back in the past.
**一番[いちばん]**,most; (adv) literally meaning number one and doing the work of English superlatives.
**どうぞ**,please go ahead; (exp) offering something or granting permission with an open hand.
**危険[きけん]**,dangerous; (na-adj) stating danger coolly and objectively as a property of a place.
**困[こま]る**,to be troubled; (v) for the speaker being stuck or inconvenienced with no good move left.
**感[かん]じる**,to feel; (v) for picking something up through the senses or gut awareness.
**今度[こんど]**,this time; (n) sliding between this coming occasion and the next one depending on context.
**言葉[ことば]**,word; (n) covering a single utterance a phrase and a whole tongue at once.
**全員[ぜんいん]**,all members; (n) counting every member of a defined group and sounding like a command.
**分[ふん]**,minute; (n) Counter noun for minutes of clock time used with numbers.
**そいつ**,that guy (rough); (pron) Rough pronoun for a person the listener knows about and insulting to their face.
**新[あたら]しい**,new; (i-adj) for something recent or fresh including current information.
**妹[いもうと]**,younger sister; (n) for a sibling girl born after you and used of your own family.
**いろいろ**,various; (adv) spreading over many kinds of things without naming any of them.
**捕食[ほしょく]**,predation; (n) for catching and eating prey and the name of Rimuru's signature skill.
**本気[ほんき]**,seriousness; (n) for true intent with nothing held back and no joking.
**予定[よてい]**,plan; (n) for an arrangement already fixed on a calendar and known to others.
**程度[ていど]**,degree; (n) measuring how far something reaches and often waving an amount away dismissively.
**面倒[めんどう]**,troublesome; (na-adj) for trouble that costs you effort and makes you sigh.
**まずい**,bad-tasting; (i-adj) for foul-tasting food and for a situation going badly wrong.
**最後[さいご]**,the last; (n) for the final item in a sequence and the point where things stop.
**巣[す]**,nest; (n) for any creature's home base from hive to den to hideout.
**入[い]れる**,to put in; (v) Transitive verb for placing something into a container or space.
**陛下[へいか]**,Your Majesty; (n) Honorific noun attached to a monarch and never used about yourself.
**格好[かっこう]**,appearance; (n) for outward looks and clothing and how presentable you seem.
**絶対[ぜったい]**,absolutely; (adv) pushing a statement to total certainty in either direction.
**連[つ]れる**,to bring a person along; (v) for taking a person with you as you go somewhere.
**残[のこ]る**,to remain; (v) for something being left behind or left over on its own.
**姉[あね]**,older sister; (n) Plain noun for a sibling girl born before you in your own family.
**忘[わす]れる**,to forget; (v) for losing a memory and also for leaving an object behind somewhere.
**顔[かお]**,face; (n) for the face and by extension your reputation and public standing.
**対[たい]する**,to face; (v) marking the target that an action or attitude is aimed at.
**種族[しゅぞく]**,race; (n) for a people such as orcs or elves treated as one kind.
**戦争[せんそう]**,war; (n) for full nation-scale fighting with armies and declared sides.
**楽[たの]しい**,fun; (i-adj) reporting that the speaker is having a good time right now.
**おいしい**,delicious; (i-adj) of neutral polite praise for food that anyone can say safely.
**上[うえ]**,above; (n) for the area overhead and for higher position in a hierarchy.
**解[かい]**,answer; (n) for a bare solution clipped by the Great Sage into a flat confirmation.
**洞窟[どうくつ]**,cave; (n) for a natural hollow in rock saying nothing about what lives there.
**まじ**,serious; (na-adj) Slang adjective for being in earnest and far too blunt for superiors.
**なめる**,to lick; (v) for licking that also means taking an opponent lightly and is provocative.
**期待[きたい]**,expectation; (n) for hoping someone will deliver and it quietly puts pressure on them.
**よろしく**,please treat me well; (exp) asking to be treated favourably and covering greetings and requests alike.
**素晴[すば]らしい**,wonderful; (i-adj) admiring high quality and formal enough for a speech.
**件[けん]**,matter; (n) counting incidents and items of business like entries in a file.
**理由[りゆう]**,reason; (n) for the reason you can state aloud and defend openly.
**大変[たいへん]**,awful; (na-adj) for a dire situation that also serves to intensify what follows.
**無事[ぶじ]**,safe and sound; (na-adj) built from no incident meaning you came through danger unhurt.
**気持[きも]ち**,feeling; (n) for emotion or bodily sensation experienced from the inside.
**参加[さんか]**,participation; (n) for adding yourself to an event or effort already underway.
**ダンジョン**,dungeon; (n) Game loanword for a monster lair with floors that adventurers clear.
**成功[せいこう]**,success; (n) for the achieved outcome of a deliberate attempt needing a plan behind it.
**下[した]**,below; (n) for the space underneath and for lower rank under someone.
**魔力[まりょく]**,magical power; (n) for the magical fuel a caster spends to work effects.
**助[たす]かる**,to be saved; (v) where the rescued party is the subject and also everyday thanks for help.
**怒[おこ]る**,to get angry; (v) for anger flaring into the open where everyone can see it.
**既[すで]に**,already; (adv) of written dramatic register reporting a fact settled before now.
**黙[だま]る**,to fall silent; (v) for the act of going silent and blunt as a bare command.
**せっかく**,after going to all the trouble of; (adv) flagging effort or a rare chance in danger of going to waste.
**友達[ともだち]**,friend; (n) for a personal companion chosen freely out of liking.
**利用[りよう]**,use; (n) for turning something to your advantage and calculating when applied to people.
**よろしい**,fine; (i-adj) Stiff formal adjective granting approval downward to someone beneath you.
